FILE;Date;Time;Latitude;Longitude;Altitude;Category;Severity;Commentary
G0040505.JPG;2020:04:15;(6, 1, 15, 1, 52, 1);46.7763889;6.6387317;481.361;5;1;
G0040506.JPG;2020:04:15;(6, 1, 15, 1, 57, 1);46.7764273;6.638781;482.69;5;1;
G0040507.JPG;2020:04:15;(6, 1, 16, 1, 2, 1);46.7764936;6.6388831;483.432;5;1;
G0040508.JPG;2020:04:15;(6, 1, 16, 1, 7, 1);46.7765246;6.6389309;485.151;5;1;
G0040509.JPG;2020:04:15;(6, 1, 16, 1, 12, 1);46.7765348;6.6389311;486.144;5;1;
G0040510.JPG;2020:04:15;(6, 1, 16, 1, 17, 1);46.7766106;6.6389776;485.927;5;1;
G0040511.JPG;2020:04:15;(6, 1, 16, 1, 22, 1);46.7766881;6.6389772;486.057;5;1;
G0040512.JPG;2020:04:15;(6, 1, 16, 1, 27, 1);46.7767368;6.6388669;485.92;5;1;
G0040513.JPG;2020:04:15;(6, 1, 16, 1, 32, 1);46.7767527;6.6387492;482.058;5;1;
G0040514.JPG;2020:04:15;(6, 1, 16, 1, 37, 1);46.7768099;6.6386093;480.975;5;1;
G0040515.JPG;2020:04:15;(6, 1, 16, 1, 42, 1);46.7768475;6.6384605;478.84;5;1;
G0040516.JPG;2020:04:15;(6, 1, 16, 1, 47, 1);46.7769249;6.6383332;480.659;5;1;
G0040517.JPG;2020:04:15;(6, 1, 16, 1, 52, 1);46.7769674;6.6381892;479.012;5;1;
G0040518.JPG;2020:04:15;(6, 1, 16, 1, 57, 1);46.777003;6.6380444;476.224;5;1;
G0040519.JPG;2020:04:15;(6, 1, 17, 1, 2, 1);46.7770579;6.6378943;473.04;5;1;
G0040520.JPG;2020:04:15;(6, 1, 17, 1, 7, 1);46.7771315;6.6378298;475.017;5;1;
G0040521.JPG;2020:04:15;(6, 1, 17, 1, 12, 1);46.7772395;6.6377298;478.179;1;3;Missing curb ramp
G0040522.JPG;2020:04:15;(6, 1, 17, 1, 17, 1);46.7773137;6.6376767;484.404;5;1;
G0040523.JPG;2020:04:15;(6, 1, 17, 1, 22, 1);46.7773463;6.6375398;482.738;5;1;
G0040524.JPG;2020:04:15;(6, 1, 17, 1, 27, 1);46.7774471;6.6373936;483.684;5;1;
G0040525.JPG;2020:04:15;(6, 1, 17, 1, 32, 1);46.777477;6.637257;482.451;5;1;
G0040526.JPG;2020:04:15;(6, 1, 17, 1, 37, 1);46.7774622;6.6371297;479.82;9;3;Fientes de corbeaux
G0040527.JPG;2020:04:15;(6, 1, 17, 1, 42, 1);46.7774593;6.6369794;467.547;5;1;
G0040528.JPG;2020:04:15;(6, 1, 17, 1, 47, 1);46.7775666;6.6368406;464.784;9;2;Fientes de corbeaux
G0040529.JPG;2020:04:15;(6, 1, 17, 1, 52, 1);46.7776743;6.6367407;462.684;5;1;
